job_id,title,company,location,description,skills
1,Data Analyst Intern,Company A,London,"Analyze data, build dashboards, write SQL queries","python;sql;excel;tableau"
2,Junior Data Scientist,Company B,Berlin,"Build ML models, analyze experiments, work with pandas","python;machine learning;pandas;statistics"
3,Data Analyst Intern,InsightHub,Amsterdam,"Prepare business reports, analyze KPIs, create dashboards for product and marketing teams","sql;excel;power bi;python"
4,Junior Data Analyst,MetricFlow,Paris,"Clean datasets, build weekly reports, support decision making with descriptive analytics","sql;excel;data visualization;statistics"
5,Data Science Intern,VisionData,Madrid,"Assist in machine learning experiments, preprocess data, evaluate model performance","python;machine learning;pandas;scikit-learn"
6,BI Analyst Intern,DashWorks,Dublin,"Develop dashboards, track business metrics, collaborate with analysts and managers","power bi;sql;excel;communication"
7,Junior Data Scientist,QuantNova,Zurich,"Analyze structured data, build predictive models, present insights to stakeholders","python;statistics;machine learning;pandas"
8,Product Data Analyst Intern,ClickSense,Stockholm,"Analyze user behavior, support A/B testing, create product performance dashboards","sql;python;ab testing;tableau"
9,Marketing Data Analyst,AdMetric,Copenhagen,"Measure campaign performance, build reports, segment users, identify growth opportunities","sql;excel;google analytics;python"
10,Data Analyst Intern,NorthGrid,Helsinki,"Work with internal datasets, automate reporting, visualize trends and anomalies","python;sql;excel;data visualization"
11,Junior BI Analyst,CoreSignals,Prague,"Maintain dashboards, write SQL queries, validate reporting data quality","sql;power bi;excel;data quality"
12,Data Science Intern,AlgoBridge,Vienna,"Support NLP and forecasting projects, clean text data, explore model features","python;nlp;pandas;machine learning"
13,Operations Data Analyst,SupplyMind,Warsaw,"Analyze logistics data, monitor operational KPIs, optimize reporting pipelines","sql;excel;python;operations analytics"
14,Junior Data Analyst,BluePeak,Brussels,"Create dashboards for finance and sales teams, summarize trends, prepare presentations","excel;sql;power bi;communication"
15,Analytics Intern,TrendLoop,Barcelona,"Collect and clean data, support experiments, build dashboards for growth team","python;sql;tableau;ab testing"
16,Data Science Intern,ModelForge,Munich,"Train baseline ML models, evaluate results, document experiments and findings","python;scikit-learn;statistics;machine learning"
17,Junior Product Analyst,UserScope,Oslo,"Analyze retention and funnel metrics, generate insights, support product decisions","sql;python;product analytics;tableau"
18,Reporting Analyst Intern,DataHarbor,Lisbon,"Prepare recurring reports, validate source data, communicate insights to business teams","excel;sql;reporting;power bi"
19,Junior Data Scientist,DeepMetric,Milan,"Work on classification and regression tasks, preprocess datasets, analyze feature importance","python;machine learning;statistics;pandas"
20,Data Analyst Intern,InsightRiver,Berlin,"Analyze customer data, create visualizations, identify patterns in product usage","sql;python;tableau;excel"
21,Analytics Intern,SignalPath,London,"Support dashboard development, track KPIs, help teams interpret business trends","excel;sql;power bi;analytics"
22,Junior Data Analyst,UrbanMetrics,Amsterdam,"Join analytics team to clean data, produce reports, and support business planning","sql;excel;python;statistics"
23,Data Science Intern,NexaAI,Paris,"Experiment with models, prepare training data, and evaluate analytical results","python;machine learning;pandas;data analysis"
24,Business Data Analyst Intern,PeakIntel,Berlin,"Work with stakeholders to define metrics, build dashboards, and automate reporting","sql;excel;tableau;communication"
25,Junior BI Analyst,LumenData,Dublin,"Develop business dashboards, monitor trends, and improve reporting accuracy","power bi;sql;excel;data visualization"
